model_id,arch,metric,quality,params,psnr,mse,bpp,compression_ratio,time
mbt2018-mean_ms-ssim_q2,mbt2018-mean,ms-ssim,2,7028003,64.7271,81351.309000,6.7530,1269.95,0.57
mbt2018-mean_ms-ssim_q3,mbt2018-mean,ms-ssim,3,7028003,67.6483,41518.995325,9.5073,902.04,0.56
mbt2018-mean_ms-ssim_q4,mbt2018-mean,ms-ssim,4,7028003,71.4105,17459.373247,13.0601,656.66,0.57
mbt2018-mean_ms-ssim_q5,mbt2018-mean,ms-ssim,5,17561699,74.5352,8502.679353,17.6751,485.20,1.40
mbt2018-mean_ms-ssim_q6,mbt2018-mean,ms-ssim,6,17561699,75.0991,7467.369741,24.5462,349.38,1.40
mbt2018-mean_ms-ssim_q7,mbt2018-mean,ms-ssim,7,17561699,77.4237,4372.341779,32.0373,267.69,1.40
mbt2018-mean_ms-ssim_q8,mbt2018-mean,ms-ssim,8,17561699,78.4572,3446.354221,41.4638,206.83,1.40
mbt2018-mean_mse_q1,mbt2018-mean,mse,1,7028003,65.6456,65843.931455,3.6263,2364.95,0.57
mbt2018-mean_mse_q2,mbt2018-mean,mse,2,7028003,67.8657,39491.870430,4.8486,1768.77,0.57
mbt2018-mean_mse_q3,mbt2018-mean,mse,3,7028003,69.1935,29089.209078,6.8151,1258.38,0.56
mbt2018-mean_mse_q4,mbt2018-mean,mse,4,7028003,72.3168,14171.090573,9.5913,894.15,0.57
mbt2018-mean_mse_q5,mbt2018-mean,mse,5,17561699,74.5109,8550.391913,13.7066,625.69,1.40
mbt2018-mean_mse_q6,mbt2018-mean,mse,6,17561699,76.1799,5822.228617,18.3026,468.57,1.40
mbt2018-mean_mse_q7,mbt2018-mean,mse,7,17561699,78.6455,3300.136807,24.4717,350.45,1.41
mbt2018-mean_mse_q8,mbt2018-mean,mse,8,17561699,79.1437,2942.468034,32.8803,260.82,1.40
