模型检查:
  - 模型类型: VAEformer
  - 输入通道数: 268
  - 总参数量: 404,682,016
  - 总通道数: 268

整体误差指标:
  MSE: 1003.34350586
  RMSE: 31.675598
  PSNR: 83.82 dB (使用数据范围: 491518.22)

================================================================================
性能统计
================================================================================
平均编码时间: 0.7100s (标准差: 0.0000s)
平均解码时间: 0.6202s (标准差: 0.0000s)

================================================================================
整体压缩质量评估
================================================================================
 MSE: 1003.34350586 
 RMSE: 31.675598 
 PSNR: 83.82 dB 

================================================================================
各变量的 MSE, RMSE 和 PSNR (平均值)
================================================================================
Channel  变量名             平均MSE           平均RMSE          PSNR           
254      w_7             0.00000151      0.001230        44.14          
255      w_5             0.00000088      0.000940        47.15          
256      w_3             0.00000034      0.000580        48.26          
257      w_2             0.00000020      0.000453        47.63          
258      w_1             0.00000003      0.000173        49.87          
259      v10             0.14905030      0.386070        40.56          
260      u10             0.22011425      0.469163        40.04          
261      v100            0.26139578      0.511269        40.59          
262      u100            0.38117805      0.617396        39.87          
263      t2m             0.57291764      0.756913        42.13          
264      tcc             0.02082902      0.144323        16.81          
265      sp              258784.75000000 508.708893      40.52          
266      tp              0.05668602      0.238088        41.19          
267      msl             242.07879639    15.558882       56.36          

================================================================================
按变量类型汇总的质量评估
================================================================================

Pressure 变量 (前 259 个通道):
  z    : 平均 MSE = 254.63552856, 平均 PSNR = 63.88 dB
  q    : 平均 MSE = 0.00000003, 平均 PSNR = 35.92 dB
  u    : 平均 MSE = 0.29823527, 平均 PSNR = 45.88 dB
  v    : 平均 MSE = 0.24172595, 平均 PSNR = 45.70 dB
  t    : 平均 MSE = 0.05886358, 平均 PSNR = 48.43 dB
  r    : 平均 MSE = 11.47650242, 平均 PSNR = 37.33 dB
  w    : 平均 MSE = 0.00490855, 平均 PSNR = 43.21 dB

Single 变量 (后 9 个通道):
  v10  : 平均 MSE = 0.14905030, 平均 PSNR = 40.56 dB
  u10  : 平均 MSE = 0.22011425, 平均 PSNR = 40.04 dB
  v100 : 平均 MSE = 0.26139578, 平均 PSNR = 40.59 dB
  u100 : 平均 MSE = 0.38117805, 平均 PSNR = 39.87 dB
  t2m  : 平均 MSE = 0.57291764, 平均 PSNR = 42.13 dB
  tcc  : 平均 MSE = 0.02082902, 平均 PSNR = 16.81 dB
  sp   : 平均 MSE = 258784.75000000, 平均 PSNR = 40.52 dB
  tp   : 平均 MSE = 0.05668602, 平均 PSNR = 41.19 dB
  msl  : 平均 MSE = 242.07879639, 平均 PSNR = 56.36 dB

================================================================================
压缩信息和压缩率 (Compression Ratio)
================================================================================
原始数据: (268, 721, 1440), float32, 1,112,993,280 bytes (1112.9933 MB)
压缩后: 2,376,480 bytes (2.3765 MB)
压缩比: 468.34:1, 压缩率: 0.21%, BPV: 0.068327
质量-压缩比: PSNR/Bit=1226.6958 dB/bit, PSNR/MB=35.2691 dB/MB
Pressure 变量 (259 通道): 18.3734 Mbits, BPV: 0.068327
Single 变量 (9 通道): 0.6385 Mbits, BPV: 0.068327

关键变量压缩信息:
  z_500   : 0.0709 Mbits, BPV: 0.068327, PSNR: 65.08 dB
  t_850   : 0.0709 Mbits, BPV: 0.068327, PSNR: 48.02 dB
  v10     : 0.0709 Mbits, BPV: 0.068327, PSNR: 40.56 dB
  u10     : 0.0709 Mbits, BPV: 0.068327, PSNR: 40.04 dB
  t2m     : 0.0709 Mbits, BPV: 0.068327, PSNR: 42.13 dB
  msl     : 0.0709 Mbits, BPV: 0.068327, PSNR: 56.36 dB
================================================================================
